epoch,loss,acc
1,3.33732390404,0.152359247208
2,2.52662396431,0.304036468267
3,1.88637638092,0.457263767719
4,1.64933741093,0.515361487865
5,1.50729095936,0.541410923004
6,1.4113754034,0.556927382946
7,1.35329389572,0.567863345146
8,1.30775940418,0.580116868019
9,1.26506853104,0.593509733677
10,1.22222650051,0.605895042419
11,1.18337225914,0.616613984108
12,1.14718139172,0.626705110073
13,1.11648869514,0.635912716389
14,1.08431017399,0.647391200066
15,1.05550944805,0.655560195446
16,1.02851140499,0.664860785007
17,1.00625121593,0.672037780285
18,0.977586269379,0.681594133377
19,0.955548048019,0.688902854919
20,0.932625174522,0.695087730885
21,0.90802437067,0.703721761703
22,0.887170553207,0.71044921875
23,0.866858541965,0.7177734375
24,0.84927880764,0.723485529423
25,0.829789042473,0.72691899538
26,0.80896961689,0.7353515625
27,0.792813539505,0.740381658077
28,0.772056221962,0.746992826462
29,0.754777729511,0.752348423004
30,0.735587179661,0.759447872639
31,0.717800378799,0.764330685139
32,0.699124515057,0.770833313465
33,0.689518392086,0.772305905819
34,0.671790421009,0.778855085373
35,0.657692670822,0.782947361469
36,0.645223736763,0.787713885307
37,0.631854057312,0.791713178158
38,0.618534505367,0.795185387135
39,0.604073822498,0.799572169781
40,0.588407218456,0.805788099766
41,0.579993724823,0.807152152061
42,0.56623339653,0.812461256981
43,0.557135522366,0.815638959408
44,0.545261561871,0.819475471973
45,0.532895028591,0.822970926762
46,0.525175333023,0.826009094715
47,0.512862980366,0.829117059708
48,0.499522984028,0.83330231905
49,0.492358237505,0.836836576462
50,0.481371730566,0.839688718319
51,0.470150828362,0.842269659042
52,0.460392415524,0.846935451031
53,0.446071982384,0.85191899538
54,0.440859735012,0.852461576462
55,0.429804354906,0.8568328619
56,0.419718503952,0.859545528889
57,0.41278642416,0.862165153027
58,0.401426583529,0.866048157215
59,0.396431356668,0.867668032646
60,0.388502001762,0.87024897337
61,0.3832269907,0.872543096542
62,0.375657320023,0.874000191689
63,0.366895884275,0.877433657646
64,0.361463665962,0.87854975462
65,0.355296164751,0.88056486845
66,0.350610047579,0.882897734642
67,0.343515336514,0.885075628757
68,0.340429097414,0.885137677193
69,0.335020452738,0.888199090958
70,0.329748392105,0.889214396477
71,0.323957324028,0.8917953372
72,0.319417238235,0.892438590527
73,0.313069730997,0.895244300365
74,0.309499800205,0.896065831184
75,0.305981397629,0.896941661835
76,0.305073171854,0.897088885307
77,0.302071034908,0.898429751396
78,0.293898373842,0.901839971542
79,0.290601938963,0.902739048004
80,0.287652343512,0.903165280819
81,0.282968312502,0.904366612434
82,0.279140651226,0.905877947807
83,0.275210171938,0.906699538231
84,0.27182251215,0.908768892288
85,0.271829307079,0.908644914627
86,0.26681920886,0.910590291023
87,0.26255235076,0.91148930788
88,0.259794980288,0.912853419781
89,0.254369556904,0.914411246777
90,0.252872109413,0.91468256712
91,0.252929031849,0.915279328823
92,0.251468002796,0.915085554123
93,0.250039964914,0.9150390625
94,0.24524179101,0.918053984642
95,0.237708419561,0.920030355453
96,0.237275272608,0.919604122639
97,0.236646354198,0.919976115227
98,0.232101202011,0.922293543816
99,0.23163869977,0.921642482281
100,0.228954300284,0.922998845577
